Year,Year ending,Police Region,Area,Incidents,Rate
2019,June,1 North West Metro,Banyule,7045,5352.1
2019,June,1 North West Metro,Brimbank,14169,6762.5
2019,June,1 North West Metro,Darebin,11169,6802.7
2019,June,1 North West Metro,Hobsons Bay,4868,4980
2019,June,1 North West Metro,Hume,15701,6725
2019,June,1 North West Metro,Maribyrnong,6668,7135.5
2019,June,1 North West Metro,Melbourne,26138,14605.9
2019,June,1 North West Metro,Melton,8330,5051.7
2019,June,1 North West Metro,Moonee Valley,6255,4800.7
2019,June,1 North West Metro,Moreland,10989,5915.5
2019,June,1 North West Metro,Nillumbik,1686,2590.1
2019,June,1 North West Metro,Whittlesea,11904,5170.3
2019,June,1 North West Metro,Wyndham,11726,4335.1
2019,June,1 North West Metro,Yarra,10984,10822.2
2019,June,2 Eastern,Alpine,412,3215.2
2019,June,2 Eastern,Bass Coast,1810,4983.5
2019,June,2 Eastern,Baw Baw,3338,6251.4
2019,June,2 Eastern,Benalla,920,6554.1
2019,June,2 Eastern,Boroondara,5586,3049.1
2019,June,2 Eastern,East Gippsland,3241,6849.7
2019,June,2 Eastern,Greater Shepparton,6200,9323.6
2019,June,2 Eastern,Indigo,410,2454.9
2019,June,2 Eastern,Knox,8046,4890.1
2019,June,2 Eastern,Latrobe,9822,12998.8
2019,June,2 Eastern,Manningham,3517,2756.9
2019,June,2 Eastern,Mansfield,328,3574.5
2019,June,2 Eastern,Maroondah,6033,5088.6
2019,June,2 Eastern,Mitchell,3074,6670.7
2019,June,2 Eastern,Moira,1792,5988.3
2019,June,2 Eastern,Monash,8217,4050.8
2019,June,2 Eastern,Murrindindi,570,3912.1
2019,June,2 Eastern,South Gippsland,1136,3797.6
2019,June,2 Eastern,Strathbogie,480,4452.3
2019,June,2 Eastern,Towong,164,2715.2
2019,June,2 Eastern,Wangaratta,1691,5793.7
2019,June,2 Eastern,Wellington,3013,6789.1
2019,June,2 Eastern,Whitehorse,6480,3625.4
2019,June,2 Eastern,Wodonga,2460,5845.6
2019,June,2 Eastern,Yarra Ranges,5808,3642.2
2019,June,3 Southern Metro,Bayside,3797,3553.2
2019,June,3 Southern Metro,Cardinia,4842,4317.1
2019,June,3 Southern Metro,Casey,16410,4637.3
2019,June,3 Southern Metro,Frankston,10752,7537.7
2019,June,3 Southern Metro,Glen Eira,5081,3246.4
2019,June,3 Southern Metro,Greater Dandenong,14375,8546.3
2019,June,3 Southern Metro,Kingston,8771,5290.7
2019,June,3 Southern Metro,Mornington Peninsula,8086,4823.5
2019,June,3 Southern Metro,Port Phillip,9674,8368.4
2019,June,3 Southern Metro,Stonnington,8235,6992.6
2019,June,4 Western,Ararat,853,7201.4
2019,June,4 Western,Ballarat,8121,7416.1
2019,June,4 Western,Buloke,203,3314.8
2019,June,4 Western,Campaspe,3017,8019.2
2019,June,4 Western,Central Goldfields,882,6688.9
2019,June,4 Western,Colac-Otway,1262,5852.3
2019,June,4 Western,Corangamite,489,3052.4
2019,June,4 Western,Gannawarra,648,6187.9
2019,June,4 Western,Glenelg,949,4823.6
2019,June,4 Western,Golden Plains,469,1977.1
2019,June,4 Western,Greater Bendigo,8366,7084.2
2019,June,4 Western,Greater Geelong,15845,6119.3
2019,June,4 Western,Hepburn,643,4025
2019,June,4 Western,Hindmarsh,258,4617
2019,June,4 Western,Horsham,1373,6892.2
2019,June,4 Western,Loddon,377,5024
2019,June,4 Western,Macedon Ranges,1794,3571.5
2019,June,4 Western,Mildura,5349,9590
2019,June,4 Western,Moorabool,1613,4602.1
2019,June,4 Western,Mount Alexander,850,4302.9
2019,June,4 Western,Moyne,487,2872.6
2019,June,4 Western,Northern Grampians,740,6490.1
2019,June,4 Western,Pyrenees,394,5273
2019,June,4 Western,Queenscliffe,123,4183.7
2019,June,4 Western,Southern Grampians,1015,6304.3
2019,June,4 Western,Surf Coast,922,2755.9
2019,June,4 Western,Swan Hill,1844,8930.2
2019,June,4 Western,Warrnambool,2936,8345.4
2019,June,4 Western,West Wimmera,144,3749
2019,June,4 Western,Yarriambiack,298,4488.6
