Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate per 100000 population
2020,June,1 North West Metro, Banyule,6939.00 ,5242.00 
2020,June,1 North West Metro, Brimbank,15654.00 ,7447.20 
2020,June,1 North West Metro, Darebin,11703.00 ,7058.50 
2020,June,1 North West Metro, Hobsons Bay,4747.00 ,4814.60 
2020,June,1 North West Metro, Hume,15663.00 ,6487.90 
2020,June,1 North West Metro, Maribyrnong,7317.00 ,7650.00 
2020,June,1 North West Metro, Melbourne,26405.00 ,14082.70 
2020,June,1 North West Metro, Melton,9615.00 ,5590.40 
2020,June,1 North West Metro, Moonee Valley,6646.00 ,5033.20 
2020,June,1 North West Metro, Moreland,11058.00 ,5859.90 
2020,June,1 North West Metro, Nillumbik,1630.00 ,2501.00 
2020,June,1 North West Metro, Whittlesea,12091.00 ,5102.40 
2020,June,1 North West Metro, Wyndham,13763.00 ,4855.20 
2020,June,1 North West Metro, Yarra,11466.00 ,11116.30 
2020,June,1 North West Metro,Total,154697.00 ,6688.10 
2020,June,2 Eastern, Alpine,440.00 ,3421.90 
2020,June,2 Eastern, Bass Coast,1859.00 ,5015.00 
2020,June,2 Eastern, Baw Baw,3608.00 ,6599.40 
2020,June,2 Eastern, Benalla,952.00 ,6765.00 
2020,June,2 Eastern, Boroondara,6776.00 ,3674.30 
2020,June,2 Eastern, East Gippsland,3679.00 ,7699.10 
2020,June,2 Eastern, Greater Shepparton,6345.00 ,9488.40 
2020,June,2 Eastern, Indigo,444.00 ,2637.60 
2020,June,2 Eastern, Knox,9074.00 ,5490.50 
2020,June,2 Eastern, Latrobe,10089.00 ,13290.60 
2020,June,2 Eastern, Manningham,3586.00 ,2786.90 
2020,June,2 Eastern, Mansfield,324.00 ,3486.30 
2020,June,2 Eastern, Maroondah,5876.00 ,4909.20 
2020,June,2 Eastern, Mitchell,3183.00 ,6641.30 
2020,June,2 Eastern, Moira,1767.00 ,5888.20 
2020,June,2 Eastern, Monash,9538.00 ,4686.10 
2020,June,2 Eastern, Murrindindi,633.00 ,4297.50 
2020,June,2 Eastern, South Gippsland,1289.00 ,4279.50 
2020,June,2 Eastern, Strathbogie,430.00 ,3952.10 
2020,June,2 Eastern, Towong,156.00 ,2578.40 
2020,June,2 Eastern, Wangaratta,1797.00 ,6120.70 
2020,June,2 Eastern, Wellington,3320.00 ,7445.10 
2020,June,2 Eastern, Whitehorse,7406.00 ,4117.60 
2020,June,2 Eastern, Wodonga,2830.00 ,6589.50 
2020,June,2 Eastern, Yarra Ranges,6171.00 ,3847.10 
2020,June,2 Eastern,Total,91572.00 ,5281.50 
2020,June,3 Southern Metro, Bayside,4067.00 ,3776.10 
2020,June,3 Southern Metro, Cardinia,5458.00 ,4657.90 
2020,June,3 Southern Metro, Casey,17424.00 ,4771.10 
2020,June,3 Southern Metro, Frankston,11282.00 ,7848.20 
2020,June,3 Southern Metro, Glen Eira,6317.00 ,4013.50 
2020,June,3 Southern Metro, Greater Dandenong,14589.00 ,8582.70 
2020,June,3 Southern Metro, Kingston,8930.00 ,5347.30 
2020,June,3 Southern Metro, Mornington Peninsula,8732.00 ,5162.40 
2020,June,3 Southern Metro, Port Phillip,9912.00 ,8419.90 
2020,June,3 Southern Metro, Stonnington,9369.00 ,7879.10 
2020,June,3 Southern Metro,Total,96080.00 ,5880.10 
2020,June,4 Western, Ararat,1005.00 ,8472.60 
2020,June,4 Western, Ballarat,8487.00 ,7613.50 
2020,June,4 Western, Buloke,281.00 ,4618.60 
2020,June,4 Western, Campaspe,2658.00 ,7062.30 
2020,June,4 Western, Central Goldfields,863.00 ,6524.70 
2020,June,4 Western, Colac-Otway,1385.00 ,6414.60 
2020,June,4 Western, Corangamite,576.00 ,3617.70 
2020,June,4 Western, Gannawarra,592.00 ,5663.80 
2020,June,4 Western, Glenelg,1149.00 ,5852.70 
2020,June,4 Western, Golden Plains,470.00 ,1939.10 
2020,June,4 Western, Greater Bendigo,8282.00 ,6902.30 
2020,June,4 Western, Greater Geelong,17145.00 ,6475.60 
2020,June,4 Western, Hepburn,699.00 ,4350.80 
2020,June,4 Western, Hindmarsh,256.00 ,4628.30 
2020,June,4 Western, Horsham,1465.00 ,7350.50 
2020,June,4 Western, Loddon,366.00 ,4886.20 
2020,June,4 Western, Macedon Ranges,1739.00 ,3407.30 
2020,June,4 Western, Mildura,5526.00 ,9866.50 
2020,June,4 Western, Moorabool,1714.00 ,4764.30 
2020,June,4 Western, Mount Alexander,849.00 ,4262.70 
2020,June,4 Western, Moyne,502.00 ,2945.20 
2020,June,4 Western, Northern Grampians,778.00 ,6868.10 
2020,June,4 Western, Pyrenees,363.00 ,4853.40 
2020,June,4 Western, Queenscliffe,99.00 ,3352.20 
2020,June,4 Western, Southern Grampians,892.00 ,5547.10 
2020,June,4 Western, Surf Coast,1058.00 ,3086.00 
2020,June,4 Western, Swan Hill,1760.00 ,8549.80 
2020,June,4 Western, Warrnambool,2404.00 ,6794.00 
2020,June,4 Western, West Wimmera,135.00 ,3552.30 
2020,June,4 Western, Yarriambiack,361.00 ,5479.00 
2020,June,4 Western,Total,63859.00 ,6234.10 
2019,June,1 North West Metro, Banyule,7045.00 ,5352.10 
2019,June,1 North West Metro, Brimbank,14169.00 ,6762.50 
2019,June,1 North West Metro, Darebin,11169.00 ,6802.70 
2019,June,1 North West Metro, Hobsons Bay,4868.00 ,4980.00 
2019,June,1 North West Metro, Hume,15701.00 ,6725.00 
2019,June,1 North West Metro, Maribyrnong,6668.00 ,7135.50 
2019,June,1 North West Metro, Melbourne,26138.00 ,14605.90 
2019,June,1 North West Metro, Melton,8330.00 ,5051.70 
2019,June,1 North West Metro, Moonee Valley,6255.00 ,4800.70 
2019,June,1 North West Metro, Moreland,10989.00 ,5915.50 
2019,June,1 North West Metro, Nillumbik,1686.00 ,2590.10 
2019,June,1 North West Metro, Whittlesea,11904.00 ,5170.30 
2019,June,1 North West Metro, Wyndham,11726.00 ,4335.10 
2019,June,1 North West Metro, Yarra,10984.00 ,10822.20 
2019,June,1 North West Metro,Total,147632.00 ,6540.40 
2019,June,2 Eastern, Alpine,412.00 ,3215.20 
2019,June,2 Eastern, Bass Coast,1810.00 ,4983.50 
2019,June,2 Eastern, Baw Baw,3338.00 ,6251.40 
2019,June,2 Eastern, Benalla,920.00 ,6554.10 
2019,June,2 Eastern, Boroondara,5586.00 ,3049.10 
2019,June,2 Eastern, East Gippsland,3241.00 ,6849.70 
2019,June,2 Eastern, Greater Shepparton,6200.00 ,9323.60 
2019,June,2 Eastern, Indigo,410.00 ,2454.90 
2019,June,2 Eastern, Knox,8046.00 ,4890.10 
2019,June,2 Eastern, Latrobe,9822.00 ,12998.80 
2019,June,2 Eastern, Manningham,3517.00 ,2756.90 
2019,June,2 Eastern, Mansfield,328.00 ,3574.50 
2019,June,2 Eastern, Maroondah,6033.00 ,5088.60 
2019,June,2 Eastern, Mitchell,3074.00 ,6670.70 
2019,June,2 Eastern, Moira,1792.00 ,5988.30 
2019,June,2 Eastern, Monash,8217.00 ,4050.80 
2019,June,2 Eastern, Murrindindi,570.00 ,3912.10 
2019,June,2 Eastern, South Gippsland,1136.00 ,3797.60 
2019,June,2 Eastern, Strathbogie,480.00 ,4452.30 
2019,June,2 Eastern, Towong,164.00 ,2715.20 
2019,June,2 Eastern, Wangaratta,1691.00 ,5793.70 
2019,June,2 Eastern, Wellington,3013.00 ,6789.10 
2019,June,2 Eastern, Whitehorse,6480.00 ,3625.40 
2019,June,2 Eastern, Wodonga,2460.00 ,5845.60 
2019,June,2 Eastern, Yarra Ranges,5808.00 ,3642.20 
2019,June,2 Eastern,Total,84548.00 ,4916.40 
2019,June,3 Southern Metro, Bayside,3797.00 ,3553.20 
2019,June,3 Southern Metro, Cardinia,4842.00 ,4317.10 
2019,June,3 Southern Metro, Casey,16410.00 ,4637.30 
2019,June,3 Southern Metro, Frankston,10752.00 ,7537.70 
2019,June,3 Southern Metro, Glen Eira,5081.00 ,3246.40 
