Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2020,June,1 North West Metro, Banyule,"6,939","5,242.00"
2020,June,1 North West Metro, Brimbank,"15,654","7,447.20"
2020,June,1 North West Metro, Darebin,"11,703","7,058.50"
2020,June,1 North West Metro, Hobsons Bay,"4,747","4,814.60"
2020,June,1 North West Metro, Hume,"15,663","6,487.90"
2020,June,1 North West Metro, Maribyrnong,"7,317","7,650.00"
2020,June,1 North West Metro, Melbourne,"26,405","14,082.70"
2020,June,1 North West Metro, Melton,"9,615","5,590.40"
2020,June,1 North West Metro, Moonee Valley,"6,646","5,033.20"
2020,June,1 North West Metro, Moreland,"11,058","5,859.90"
2020,June,1 North West Metro, Nillumbik,"1,630","2,501.00"
2020,June,1 North West Metro, Whittlesea,"12,091","5,102.40"
2020,June,1 North West Metro, Wyndham,"13,763","4,855.20"
2020,June,1 North West Metro, Yarra,"11,466","11,116.30"
2020,June,1 North West Metro,Total,"154,697","6,688.10"
2020,June,2 Eastern, Alpine,440,"3,421.90"
2020,June,2 Eastern, Bass Coast,"1,859","5,015.00"
2020,June,2 Eastern, Baw Baw,"3,608","6,599.40"
2020,June,2 Eastern, Benalla,952,"6,765.00"
2020,June,2 Eastern, Boroondara,"6,776","3,674.30"
2020,June,2 Eastern, East Gippsland,"3,679","7,699.10"
2020,June,2 Eastern, Greater Shepparton,"6,345","9,488.40"
2020,June,2 Eastern, Indigo,444,"2,637.60"
2020,June,2 Eastern, Knox,"9,074","5,490.50"
2020,June,2 Eastern, Latrobe,"10,089","13,290.60"
2020,June,2 Eastern, Manningham,"3,586","2,786.90"
2020,June,2 Eastern, Mansfield,324,"3,486.30"
2020,June,2 Eastern, Maroondah,"5,876","4,909.20"
2020,June,2 Eastern, Mitchell,"3,183","6,641.30"
2020,June,2 Eastern, Moira,"1,767","5,888.20"
2020,June,2 Eastern, Monash,"9,538","4,686.10"
2020,June,2 Eastern, Murrindindi,633,"4,297.50"
2020,June,2 Eastern, South Gippsland,"1,289","4,279.50"
2020,June,2 Eastern, Strathbogie,430,"3,952.10"
2020,June,2 Eastern, Towong,156,"2,578.40"
2020,June,2 Eastern, Wangaratta,"1,797","6,120.70"
2020,June,2 Eastern, Wellington,"3,320","7,445.10"
2020,June,2 Eastern, Whitehorse,"7,406","4,117.60"
2020,June,2 Eastern, Wodonga,"2,830","6,589.50"
2020,June,2 Eastern, Yarra Ranges,"6,171","3,847.10"
2020,June,2 Eastern,Total,"91,572","5,281.50"
2020,June,3 Southern Metro, Bayside,"4,067","3,776.10"
2020,June,3 Southern Metro, Cardinia,"5,458","4,657.90"
2020,June,3 Southern Metro, Casey,"17,424","4,771.10"
2020,June,3 Southern Metro, Frankston,"11,282","7,848.20"
2020,June,3 Southern Metro, Glen Eira,"6,317","4,013.50"
2020,June,3 Southern Metro, Greater Dandenong,"14,589","8,582.70"
2020,June,3 Southern Metro, Kingston,"8,930","5,347.30"
2020,June,3 Southern Metro, Mornington Peninsula,"8,732","5,162.40"
2020,June,3 Southern Metro, Port Phillip,"9,912","8,419.90"
